nct_id,start_year,elig_word_count,summary_word_count,desc_word_count,n_inclusion,n_exclusion,fk_grade_elig,fk_grade_summary,n_numeric_constraints,n_biomarker_terms,label
NCT03954106,2019.0,254.0,33.0,0.0,5.0,10.0,10.73714285714286,23.140526315789476,4.0,0.0,0
NCT06372236,2023.0,594.0,132.0,285.0,10.0,16.0,30.02,16.399199640287772,22.0,12.0,1
NCT04142619,2019.0,220.0,50.0,0.0,6.0,8.0,23.120980392156863,16.561538461538465,5.0,2.0,0
NCT04601831,2020.0,403.0,78.0,182.0,11.0,9.0,11.528951762523192,20.438516483516484,6.0,1.0,1
NCT03323944,2017.0,655.0,31.0,995.0,18.0,23.0,13.562294855096063,26.758750000000003,17.0,4.0,0
NCT04844086,2021.0,1182.0,55.0,144.0,25.0,41.0,13.242419748268123,16.573333333333334,48.0,26.0,0
NCT03483688,2018.0,594.0,26.0,19.0,24.0,19.0,12.175246605399565,16.563333333333336,21.0,2.0,1
NCT06256484,2024.0,608.0,24.0,348.0,15.0,18.0,15.834178859951418,17.665714285714284,11.0,6.0,0
NCT05936229,2025.0,329.0,101.0,200.0,7.0,11.0,66.3179865771812,17.556824324324328,14.0,1.0,0
NCT05064787,2022.0,145.0,281.0,0.0,6.0,4.0,21.195237226277374,20.371820175438604,1.0,0.0,1
NCT05665725,2023.0,1263.0,155.0,294.0,31.0,12.0,22.260436051223866,12.576147928994086,34.0,8.0,1
NCT05864924,2023.0,746.0,137.0,88.0,15.0,22.0,12.242367424242428,11.09958041958042,31.0,9.0,1
NCT04605666,2020.0,228.0,58.0,0.0,9.0,15.0,19.621188118811883,17.70268115942029,13.0,8.0,1
NCT05096234,2021.0,281.0,25.0,96.0,16.0,4.0,15.388798449612406,14.51923076923077,7.0,0.0,0
NCT02546921,2016.0,890.0,57.0,315.0,10.0,18.0,12.498510966295289,26.09964912280702,16.0,4.0,1
NCT04410900,2020.0,295.0,109.0,183.0,7.0,16.0,57.77028301886793,14.517391304347829,8.0,0.0,1
NCT03181126,2017.0,409.0,55.0,0.0,11.0,15.0,15.908111522911053,24.30043859649123,18.0,2.0,1
NCT05117008,2022.0,1686.0,86.0,137.0,13.0,53.0,13.020217031831336,15.494241573033708,27.0,11.0,0
NCT03502577,2018.0,857.0,187.0,97.0,15.0,29.0,162.31587786259544,15.047437407952874,35.0,4.0,0
NCT04359784,2021.0,323.0,79.0,87.0,7.0,10.0,24.786966077400866,17.828045977011495,14.0,2.0,1
NCT03229876,2019.0,494.0,26.0,37.0,13.0,13.0,12.534030967292974,18.508571428571432,20.0,14.0,0
NCT04812691,2020.0,293.0,25.0,61.0,11.0,14.0,12.067463768115942,15.480740740740742,5.0,6.0,1
NCT05943314,2023.0,219.0,17.0,56.0,7.0,9.0,12.682206644315759,14.177894736842106,7.0,1.0,0
NCT05204160,2022.0,1312.0,59.0,168.0,30.0,27.0,23.897316326530618,17.777131147540988,45.0,5.0,0
NCT06343376,2024.0,804.0,258.0,384.0,22.0,18.0,15.315381760498042,14.762771535580523,9.0,7.0,0
NCT02303821,2015.0,1708.0,96.0,0.0,28.0,42.0,11.997004908712448,20.226521739130437,59.0,8.0,1
